rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
13,D5,CH4,lepidocrocite,8,89.8627123793334,56.01520000000001,-22.962395253618002,-6.306782811780504
13,D6,CH4,lepidocrocite,8,93.78438500579335,90.6141,-2.1507440946855034,-6.161811260871292
14,D1,CH4,ferrihydrite,6,84.11205734756743,59.01069571100888,-22.70525844826306,-7.9523735502697015
14,D2,CH4,ferrihydrite,6,83.38681976239178,59.12452912566344,-21.946282732784724,-8.09863903010771
14,D3,CH4,ferrihydrite,6,82.1020493231012,55.23202587041819,-24.305088936510064,-6.982602785428159
14,D4,CH4,ferrihydrite,6,80.04768599598742,35.95992211509588,-39.87927379460209,-5.751352758832514
14,D5,CH4,ferrihydrite,6,77.20791988541583,42.25120913152776,-31.61984451920049,-6.167840269907265
14,D6,CH4,ferrihydrite,6,80.36763662224854,68.17864250943931,-11.025468082680234,-5.45200296363701
15,D1,CH4,goethite,6,56.81581904741222,59.01069571100888,1.9853601023954652,NaN
15,D2,CH4,goethite,6,56.31441522208996,59.12452912566344,2.5418685796218408,NaN
15,D3,CH4,goethite,6,55.426560996634805,55.23202587041819,-0.17596536721659997,-9.122872799837914
15,D4,CH4,goethite,6,54.00814463096128,35.95992211509588,-16.325391534045384,-6.139236394185427
15,D5,CH4,goethite,6,52.05062236693135,42.25120913152776,-8.863989666087022,-6.720170758929274
15,D6,CH4,goethite,6,54.228936019505284,68.17864250943931,12.618107962321252,NaN
16,D1,CH4,lepidocrocite,6,67.63023385680845,59.01069571100888,-7.796742030918503,-8.41658683494721
16,D2,CH4,lepidocrocite,6,67.03636184234568,59.12452912566344,-7.156592109730768,-8.585293734713014
16,D3,CH4,lepidocrocite,6,65.98477284822707,55.23202587041819,-9.726320934094263,-7.380351404353832
16,D4,CH4,lepidocrocite,6,64.30469789200049,35.95992211509588,-25.639065680618636,-5.943197805094911
16,D5,CH4,lepidocrocite,6,61.98574890360834,42.25120913152776,-17.850737835274195,-6.416143828225983
16,D6,CH4,lepidocrocite,6,64.56622958337749,68.17864250943931,3.267582464077239,NaN
17,D1,CO,ferrihydrite,2,36.26733068681607,19.653204288991112,-45.08457021773471,-8.048576355003481
17,D2,CO,ferrihydrite,2,35.9252546501867,19.387270874336565,-44.87794741345439,-8.101837888998345
17,D3,CO,ferrihydrite,2,35.31561692457916,19.012874129581796,-44.239590736407926,-7.888063028955634
17,D4,CO,ferrihydrite,2,34.33120254910375,12.400377884904133,-59.512115222343404,-8.123772498358607
17,D5,CO,ferrihydrite,2,32.951020469660875,13.76399086847224,-52.066474192575676,-8.113832699103696
17,D6,CO,ferrihydrite,2,34.485291102039454,22.435457490560673,-32.69877431773098,-8.531226016708413
18,D1,CO,goethite,2,27.16858458676434,19.653204288991112,-20.393951667076205,-8.393102903285317
18,D2,CO,goethite,2,26.90111980341942,19.387270874336565,-20.389796101047807,-8.44445799150264
18,D3,CO,goethite,2,26.423787482423734,19.012874129581796,-20.110467167114564,-8.23045197018628
18,D4,CO,goethite,2,25.65135542742837,12.400377884904133,-35.95823296178669,-8.342579543161097
18,D5,CO,goethite,2,24.565254630166066,13.76399086847224,-29.310619339462264,-8.363365873204424
18,D6,CO,goethite,2,25.772390901125036,22.435457490560673,-9.055198272729491,-9.088859526489328
19,D1,CO,lepidocrocite,2,30.77338952322974,19.653204288991112,-30.176053800390147,-8.222941843636697
19,D2,CO,lepidocrocite,2,30.475102010171355,19.387270874336565,-30.08825679040049,-8.275473847388785
19,D3,CO,lepidocrocite,2,29.943191432954478,19.012874129581796,-29.660822733992198,-8.061690936231402
19,D4,CO,lepidocrocite,2,29.083539847774773,12.400377884904133,-45.27190710835995,-8.242549095087657
19,D5,CO,lepidocrocite,2,27.876963475725063,13.76399086847224,-38.297367508649444,-8.247221946090031
19,D6,CO,lepidocrocite,2,29.21815542241579,22.435457490560673,-18.405723770973555,-8.780804590616638
20,D1,H2,ferrihydrite,2,40.68887573284775,29.7299,-29.73859107071123,-8.454979610955627
20,D2,H2,ferrihydrite,2,40.34191559379161,29.6748,-28.946591020997097,-8.400402574870714
20,D3,H2,ferrihydrite,2,39.725914644153534,28.3686,-30.819534972737443,-8.080573918514995
20,D4,H2,ferrihydrite,2,38.73729685805782,22.516700000000004,-44.01667716434447,-8.037682745600431
20,D5,H2,ferrihydrite,2,37.36326047051469,24.504800000000003,-34.89308736996123,-8.157460602107717
20,D6,H2,ferrihydrite,2,38.89156134754481,33.4246,-14.835303214214923,-8.343303572844636
21,D1,H2,goethite,2,31.59012963279602,29.7299,-5.04797252005273,-9.225183017952105
21,D2,H2,goethite,2,31.31778074702433,29.6748,-4.458439708590507,-9.212817101939802
21,D3,H2,goethite,2,30.834085201998107,28.3686,-6.6904114034440845,-8.743947175991199
21,D4,H2,goethite,2,30.057449736382438,22.516700000000004,-20.46279490378777,-8.370335048610432
21,D5,H2,goethite,2,28.97749463101988,24.504800000000003,-12.137232516847813,-8.616080328061244
21,D6,H2,goethite,2,30.17866114663039,33.4246,8.808272830786564,NaN
22,D1,H2,lepidocrocite,2,35.19493456926142,29.7299,-14.830074653366673,-8.757156662763688
22,D2,H2,lepidocrocite,2,34.891762953776265,29.6748,-14.156900397943195,-8.711031823441791
22,D3,H2,lepidocrocite,2,34.35348915252885,28.3686,-16.240766970321722,-8.358793465050923
22,D4,H2,lepidocrocite,2,33.48963415672884,22.516700000000004,-29.776469050361023,-8.207426802986177
